AGENT_IMAGE, DISABLE_LOG_TRACKING, DISABLE_PYTHON_LOG_TRACKING, LOG_WRITER_REPLICAS, allup_pod_cpu_agg, allup_pod_mem_agg, cpu_usage_fbit_agg, cpu_usage_fluentd_supervisor_agg, cpu_usage_fluentd_worker_agg, cpu_usage_mdsd_agg, cpu_usage_python_agg, cpu_usage_telegraf_agg, disk_kb_read_per_sec_agg, disk_kb_write_per_sec_agg, disk_reads_per_sec_agg, disk_writes_per_sec_agg, mem_usage_fbit_agg, mem_usage_fluentd_supervisor_agg, mem_usage_fluentd_worker_agg, mem_usage_mdsd_agg, mem_usage_python_agg, mem_usage_telegraf_agg, kusto_bytes_lost_per_minute, kusto_bytes_sent_per_minute
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 1, 37.99997076925325, 317.1536021895368, 1.4857132244905538, 0.6142852755105174, 1.3428561836741542, 0.5071424948982179, 0.0, 0.18571415306131928, 0.0, 0.0, 0.0, 0.0, 99430.50040678543, 38749.972321448346, 46534.823903697215, 58857.672244519825, 0.0, 71395.3775747303, 0.0, 14141871.870967742
davidmichelman/countrotations:v62, false, true, 90, 476.14251704105925, 682.4280839799401, 30.128549908178634, 0.6499995357146175, 3.957140030614264, 11.192849147964894, 0.0, 0.2071427091837792, 35.469974664303805, 1956.6636023831416, 1.807141566327453, 78.53208676279517, 305250.0676785231, 38743.40089757079, 62576.81244513397, 144375.89687435937, 0.0, 92510.79106372067, 242928507.82742682, 184882242.06471494
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 80, 478.71394377575444, 638.5709724493054, 29.12855062246384, 0.6142852755105175, 3.907140066328524, 11.685705938781473, 0.0, 0.2285712653062391, 0.0, 0.0, 0.0, 0.0, 294234.9326893338, 38619.97241430542, 63016.52641676685, 157778.45872967233, 0.0, 75973.66001881428, 177925296.05462822, 214106946.4643399
davidmichelman/countrotations:v62, false, true, 40, 401.28542765326597, 525.0710535206761, 24.849982250012676, 0.6071424234696974, 2.2071412806133712, 10.435706831637978, 0.0, 0.2071427091837792, 34.52854676532374, 2117.6027731408763, 1.7599987428580408, 83.30422621126698, 188135.2941890756, 39127.114909203636, 55847.960108599924, 151282.463369669, 0.0, 77171.6591631006, 153892.46511627908, 210423857.02325583
davidmichelman/countrotations:v62, false, true, 20, 213.35699045929255, 423.7139830614407, 14.56427531123192, 0.5928567193880575, 1.8071415663274524, 4.742853755104461, 0.0, 0.2071427091837792, 34.10926135052761, 2139.392757576602, 1.7378559015314992, 83.94636860973671, 138277.3298019073, 42998.826429409695, 50295.106932066476, 99751.92874862232, 0.0, 76618.23098697787, 2277.355623100304, 109861527.72036473
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 90, 490.2139355614746, 651.0709635207404, 30.28569265307668, 0.5999995714288775, 4.099997071430663, 10.935706474495376, 0.0, 0.257142673469519, 0.0, 0.0, 0.0, 0.0, 318170.91559220315, 38707.97235144832, 63891.09722064484, 149651.3216776274, 0.0, 93496.21893127219, 252357344.38356167, 177702723.92694065
davidmichelman/countrotations:v62, true, false, 80, 484.71393949004323, 647.4995375003303, 28.685693795933002, 0.6357138316329775, 3.8071401377570444, 12.214276989802151, 0.3999997142859184, 0.23571411734705913, 33.23211911991491, 2277.540516042489, 1.6949987892865794, 87.60136599902431, 281236.3705454496, 55999.10285778368, 64527.95390860435, 173252.73339090473, 6507.995351431892, 90963.64931167907, 152158212.73255813, 223079287.7616279
davidmichelman/countrotations:v62, true, true, 80, 476.49965964310024, 678.142372755448, 28.514265346953323, 0.5928567193880575, 3.7428544693896644, 12.878562229598407, 0.0, 0.1999998571429592, 32.79854800103714, 2361.307599066001, 1.6735702331641198, 89.9263643383112, 296744.3594683147, 38963.97216859131, 62741.09804207283, 163987.88286579796, 0.0, 73616.51884534369, 148954117.63803682, 236086179.57055214
davidmichelman/countrotations:v62, false, false, 90, 489.99951000049003, 657.7993422006579, 28.722190308677437, 0.7333325185194239, 5.066661037043294, 10.81109909877878, 0.44444395061783265, 0.2222219753089163, 32.41796758203242, 2439.371560628439, 1.653998346001654, 92.28090771909228, 319324.97852780164, 38963.95670671477, 63371.485142794285, 179375.35624960417, 6455.992826674637, 106738.99251223054, 187067031.42857143, 155168722.2857143
davidmichelman/countrotations:v62, true, true, 60, 494.2139327043338, 701.4280704085212, 27.23569483164655, 0.6142852755105176, 2.935712188777008, 15.13570347449752, 0.0, 0.1999998571429592, 32.04711996634288, 2506.9417807558707, 1.6349988321436908, 94.2585041010685, 265098.38207258424, 38779.972300019785, 61848.527251051964, 238583.25815481562, 0.0, 91574.79173229162, 682182.987804878, 310595417.0121951
davidmichelman/countrotations:v62, true, false, 90, 473.7853758675887, 631.1424063268527, 29.39283614797418, 0.5999995714288775, 4.149997035716403, 11.007134994903573, 0.4785710867349381, 0.21428556122459916, 31.638548829607977, 2577.1031592120294, 1.6149988464293954, 96.18493129647766, 281121.2277705516, 38584.82958226459, 63959.38288615509, 175782.1601555999, 6661.709527350337, 80438.22825840839, 215602790.08695653, 179998575.6521739
davidmichelman/countrotations:v62, true, false, 50, 495.1425034696404, 607.9281371941877, 28.09283707654495, 0.6071424234696977, 2.46428395408289, 13.621418841843685, 0.29999972727297514, 0.2071427091837792, 31.353052805344, 2711.6302218229066, 1.7361525106519147, 97.59069416100448, 172942.16218416987, 63241.097684930224, 69816.8072737091, 169977.30715906632, 6391.994189096192, 75647.08882350799, 108058729.6608616, 260871313.69385883
davidmichelman/countrotations:v62, true, true, 1, 42.99996928573623, 321.8569129593479, 1.6285702653069536, 0.6428566836737972, 1.449998964286454, 0.5714281632655976, 0.0, 0.2499998214286991, 31.35569188879151, 2956.487173937732, 2.184284154082747, 96.78350229749837, 109441.63611311707, 40637.11383063298, 47390.537578187446, 47979.39430043264, 0.0, 75870.80294942646, 0.0, 14142514.532374099
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 50, 482.99965500024643, 616.928130765621, 28.34283689797365, 0.6999995000003574, 2.621426698980929, 13.185704867353664, 0.0, 0.2071427091837792, 0.0, 0.0, 0.0, 0.0, 224727.55376603303, 38967.972165734165, 56268.5312367634, 171267.02052355677, 0.0, 75988.51715105918, 174926.93877551018, 260675905.40816325
davidmichelman/countrotations:v62, false, false, 60, 496.2853597961716, 636.2138312758348, 27.10712349491179, 0.785713724490197, 3.199997714287347, 14.614275275517663, 0.29999978571443875, 0.2071427091837792, 30.81283513368919, 2989.0721506627497, 2.1457127530623197, 98.09635850260105, 265490.6675066661, 58017.95855860103, 62743.955182889156, 219409.2718505201, 6483.995368574737, 76766.5165953453, 3491775.6650246303, 307032588.1773399
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 10, 98.4285011224992, 402.49971250020536, 8.242851255106245, 0.6857137959187172, 1.6285702653069536, 2.44999825000125, 0.0, 0.2285712653062391, 0.0, 0.0, 0.0, 0.0, 153889.03293640504, 40326.54262389812, 46627.96669430951, 85659.65310024779, 0.0, 74890.2322212627, 54569.032258064515, 59141171.61290322
davidmichelman/countrotations:v62, false, true, 1, 108.99992214291275, 322.9997692858791, 1.8071415663274524, 0.742856612245277, 1.4571418163272736, 0.5571424591839578, 0.0, 0.22142841326541915, 30.330692620933842, 2990.5242924826484, 2.112855633674547, 98.45492967505024, 96388.21686555939, 38456.258245529825, 49579.67887165795, 44110.25420696128, 0.0, 73017.3764161597, 0.0, 14105702.278481012
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 70, 475.2139462757527, 654.2852469391094, 28.18569415307561, 0.6857137959187174, 3.435711831634406, 13.214276275516948, 0.0, 0.21428556122459916, 0.0, 0.0, 0.0, 0.0, 293082.93351219036, 57844.53011104992, 64839.382257584104, 176530.4453353962, 0.0, 74281.08979922158, 74654916.22259697, 257841645.93591908
davidmichelman/countrotations:v62, true, false, 70, 482.21394127575627, 657.0709592350291, 27.65712310205493, 0.6857137959187174, 3.671425948981465, 13.292847647965965, 0.3857140102042785, 0.22142841326541915, 29.79569300307643, 3043.1785405867568, 2.0749985178582016, 100.2106427066838, 268100.37992830004, 55338.817615130276, 59173.6720188057, 187082.72351234037, 6419.99541428899, 76730.8023351412, 70067395.36184211, 263628257.26973686
davidmichelman/countrotations:v62, true, true, 70, 491.1425063267812, 699.5709288779079, 27.53569461736099, 0.7071423520411773, 3.571426020409986, 14.3071326377624, 0.0, 0.2071427091837792, 29.544978896443645, 3086.7413666133093, 2.0564271025520697, 101.53278461943955, 273415.8047029966, 39715.685917367206, 62490.8125065625, 215756.7030309264, 0.0, 103877.3543733183, 51342186.85714286, 282541658.21848744
mcr.microsoft.com/azuremonitor/containerinsights/ciprod:ciprod10132021, true, true, 40, 399.6425716838774, 531.9996200002714, 25.335696188788436, 0.6499995357146174, 2.5071410663278098, 10.864277954087175, 0.0, 0.1999998571429592, 0.0, 0.0, 0.0, 0.0, 218058.41567256025, 44877.11080206371, 57054.81638941687, 153159.89060007816, 0.0, 77132.23061983527, 107768.93835616439, 210470631.06164384
davidmichelman/countrotations:v62, false, true, 60, 477.14251632677406, 657.713815918703, 27.185694867360816, 0.7214280561228175, 3.2499976785730866, 14.564275311231919, 0.0, 0.2071427091837792, 29.177122016341414, 3139.0306149781327, 2.0235699831642973, 103.22278341229759, 289141.79347014753, 46708.53806532996, 62055.66996023575, 229891.2643633826, 0.0, 72922.80505513925, 10375614.0, 299426011.83870965
davidmichelman/countrotations:v62, true, true, 40, 413.3568476022517, 629.2852647962394, 24.735696617359558, 0.6357138316329775, 2.4857125102053503, 10.949992178577014, 0.0, 0.2071427091837792, 28.958550743892324, 3165.67345309039, 2.005712853062248, 104.07206851995103, 192907.2907805066, 39811.97156287746, 56761.673741661616, 150449.03539354616, 0.0, 74233.37554758889, 63922.385008517886, 210514477.6149915
